item_id,knowledge_code
1,[21]
2,[13]
3,[]
4,[29]
5,[23]
6,[17]
7,[6]
8,[]
9,[33]
10,[]
11,[24]
12,[20]
13,[27]
14,[20]
15,[23]
16,[11]
17,[30]
18,[17]
19,[15]
20,[8]
21,[]
22,[10]
23,[11]
24,[17]
25,[22]
26,[15]
27,[24]
28,[10]
29,[12]
30,[11]
31,[17]
32,[6]
33,[24]
34,[18]
35,[11]
36,[24]
37,[9]
38,[18]
39,[9]
40,[24]
41,[1]
42,[22]
43,[16]
44,[6]
45,[29]
46,[18]
47,[11]
48,[22]
49,[10]
50,[18]
51,[1]
52,[1]
53,[33]
54,[18]
55,[14]
56,[18]
57,[23]
58,[22]
59,[19]
60,[24]
61,[11]
62,[15]
63,[28]
64,[26]
65,[28]
66,[24]
67,[20]
68,[24]
69,[23]
70,[18]
71,[27]
72,[10]
73,[13]
74,[18]
75,[29]
76,[9]
77,[24]
78,[12]
79,[19]
80,[17]
81,[24]
82,[11]
83,[8]
84,[34]
85,[19]
86,[15]
87,[]
88,[1]
89,[16]
90,[26]
91,[2]
92,[24]
93,[24]
94,[13]
95,[4]
96,[2]
97,[2]
98,[26]
99,[10]
100,[1]
101,[17]
102,[12]
103,[4]
104,[24]
105,[25]
106,[14]
107,[15]
108,[30]
109,[22]
110,[11]
111,[20]
112,[19]
113,[25]
114,[9]
115,[27]
116,[16]
117,[32]
118,[22]
119,[1]
120,[18]
121,[32]
122,[11]
123,[15]
124,[19]
125,[15]
126,[10]
127,[22]
128,[26]
129,[24]
130,[15]
131,[12]
132,[26]
133,[23]
134,[22]
135,[1]
136,[32]
137,[8]
138,[13]
139,[17]
140,[7]
141,[29]
142,[22]
143,[15]
144,[8]
145,[19]
146,[8]
147,[32]
148,[27]
149,[14]
150,[9]
151,[23]
152,[23]
153,[10]
154,[22]
155,[30]
156,[13]
157,[2]
158,[34]
159,[16]
160,[]
161,[9]
162,[24]
163,[10]
164,[28]
165,[20]
166,[20]
167,[19]
168,[27]
169,[15]
170,[26]
171,[32]
172,[2]
173,[19]
174,[10]
175,[5]
176,[23]
177,[9]
178,[16]
179,[28]
180,[24]
181,[5]
182,[9]
183,[5]
184,[20]
185,[23]
186,[4]
187,[26]
188,[19]
189,[26]
190,[10]
191,[10]
192,[32]
193,[14]
194,[32]
195,[16]
196,[17]
197,[27]
198,[17]
199,[32]
200,[27]
201,[17]
202,[7]
203,[12]
204,[23]
205,[6]
206,[28]
207,[8]
208,[18]
209,[17]
210,[4]
211,[27]
212,[18]
213,[26]
214,[24]
215,[7]
216,[7]
217,[18]
218,[20]
219,[14]
220,[12]
221,[]
222,[13]
223,[21]
224,[21]
225,[14]
226,[14]
227,[28]
228,[6]
229,[9]
230,[]
231,[27]
232,[21]
233,[21]
234,[10]
235,[8]
236,[23]
237,[2]
238,[11]
239,[4]
240,[16]
241,[8]
242,[22]
243,[12]
244,[]
245,[6]
246,[18]
247,[17]
248,[22]
249,[28]
250,[7]
251,[28]
252,[16]
253,[11]
254,[26]
255,[21]
256,[23]
257,[15]
258,[24]
259,[14]
260,[5]
261,[23]
262,[30]
263,[10]
264,[11]
265,[10]
266,[]
267,[22]
268,[22]
269,[]
270,[14]
271,[12]
272,[11]
273,[16]
274,[21]
275,[20]
276,[18]
277,[2]
278,[23]
279,[20]
280,[19]
281,[14]
282,[13]
283,[26]
284,[6]
285,[13]
286,[24]
287,[12]
288,[14]
289,[2]
290,[5]
291,[21]
292,[20]
293,[]
294,[17]
295,[22]
296,[13]
297,[10]
298,[8]
299,[18]
300,[10]
301,[18]
302,[16]
303,[18]
304,[23]
305,[17]
306,[10]
307,[26]
308,[20]
309,[5]
310,[11]
311,[20]
312,[1]
313,[24]
314,[19]
315,[6]
316,[10]
317,[12]
318,[2]
319,[17]
320,[21]
321,[8]
322,[24]
323,[23]
324,[19]
325,[15]
326,[33]
327,[32]
328,[10]
329,[14]
330,[27]
331,[1]
332,[28]
333,[5]
334,[34]
335,[20]
336,[16]
337,[11]
338,[14]
339,[25]
340,[9]
341,[26]
342,[16]
343,[7]
344,[2]
345,[18]
346,[33]
347,[4]
348,[23]
349,[15]
350,[5]
351,[20]
352,[7]
353,[18]
354,[11]
355,[4]
356,[20]
357,[13]
358,[7]
359,[24]
360,[34]
361,[16]
362,[8]
363,[6]
364,[30]
365,[1]
366,[2]
367,[12]
368,[11]
369,[11]
370,[24]
371,[15]
372,[20]
373,[24]
374,[5]
375,[4]
376,[28]
377,[15]
378,[14]
379,[26]
380,[5]
381,[13]
382,[23]
383,[20]
384,[9]
385,[6]
386,[18]
387,[20]
388,[23]
389,[11]
390,[34]
391,[20]
392,[24]
393,[1]
394,[12]
395,[20]
396,[5]
397,[17]
398,[8]
399,[14]
400,[5]
401,[30]
402,[29]
403,[27]
404,[27]
405,[23]
406,[24]
407,[4]
408,[10]
409,[22]
410,[5]
411,[4]
412,[20]
413,[24]
414,[22]
415,[10]
416,[7]
417,[17]
418,[26]
419,[24]
420,[9]
421,[27]
422,[15]
423,[10]
424,[13]
425,[10]
426,[17]
427,[7]
428,[17]
429,[9]
430,[11]
431,[26]
432,[17]
433,[19]
434,[28]
435,[32]
436,[22]
437,[26]
438,[10]
439,[22]
440,[28]
441,[5]
442,[30]
443,[28]
444,[8]
445,[11]
446,[6]
447,[6]
448,[6]
449,[6]
450,[17]
451,[13]
452,[10]
453,[29]
454,[17]
455,[26]
456,[5]
457,[5]
458,[4]
459,[2]
460,[10]
461,[26]
462,[1]
463,[25]
464,[22]
465,[1]
466,[23]
467,[10]
468,[1]
469,[17]
470,[6]
471,[24]
472,[31]
473,[1]
474,[20]
475,[13]
476,[26]
477,[24]
478,[23]
479,[10]
480,[17]
481,[8]
482,[24]
483,[17]
484,[13]
485,[19]
486,[2]
487,[8]
488,[14]
489,[6]
490,[21]
491,[4]
492,[31]
493,[31]
494,[8]
495,[22]
496,[16]
497,[11]
498,[10]
499,[7]
500,[13]
501,[10]
502,[31]
503,[24]
504,[11]
505,[25]
506,[6]
507,[16]
508,[27]
509,[27]
510,[20]
511,[9]
512,[11]
513,[23]
514,[19]
515,[8]
516,[21]
517,[8]
518,[26]
519,[29]
520,[10]
521,[2]
522,[21]
523,[17]
524,[13]
525,[]
526,[32]
527,[18]
528,[23]
529,[12]
530,[17]
531,[6]
532,[22]
533,[20]
534,[17]
535,[2]
536,[16]
