item_id,knowledge_code
1,[23]
2,[23]
3,[23]
4,[22]
5,[8]
6,[23]
7,[23]
8,[13]
9,[8]
10,[13]
11,[15]
12,[23]
13,[27]
14,[17]
15,[12]
16,[13]
17,[13]
18,[13]
19,[15]
20,[15]
21,[23]
22,[12]
23,[12]
24,[15]
25,[15]
26,[12]
27,[7]
28,[12]
29,[12]
30,[12]
31,[12]
32,[15]
33,[19]
34,[12]
35,[15]
36,[22]
37,[22]
38,[22]
39,[38]
40,[38]
41,[38]
42,[38]
43,[2]
44,[4]
45,[2]
46,[30]
47,[3]
48,[4]
49,[2]
50,[2]
51,[32]
52,[12]
53,[12]
54,[22]
55,[17]
56,[17]
57,[17]
58,[13]
59,[30]
60,[3]
61,[3]
62,[3]
63,[30]
64,[1]
65,[3]
66,[3]
67,[3]
68,[34]
69,[34]
70,[1]
71,[1]
72,[1]
73,[1]
74,[1]
75,[1]
76,[37]
77,[10]
78,[37]
79,[37]
80,[37]
81,[19]
82,[12]
83,[19]
84,[29]
85,[5]
86,[16]
87,[16]
88,[16]
89,[2]
90,[6]
91,[34]
92,[25]
93,[25]
94,[1]
95,[29]
96,[16]
97,[34]
98,[20]
99,[10]
100,[1]
101,[30]
102,[27]
103,[22]
104,[22]
105,[22]
106,[27]
107,[27]
108,[29]
109,[23]
110,[15]
111,[15]
112,[15]
113,[19]
114,[12]
115,[12]
116,[4]
117,[4]
118,[14]
119,[14]
120,[14]
121,[15]
122,[11]
123,[22]
124,[17]
125,[32]
126,[32]
127,[32]
128,[18]
129,[18]
130,[1]
131,[6]
132,[38]
133,[4]
134,[6]
135,[6]
136,[21]
137,[18]
138,[9]
139,[9]
140,[15]
141,[15]
142,[31]
143,[15]
144,[15]
145,[31]
146,[22]
147,[22]
148,[39]
149,[38]
150,[38]
151,[12]
152,[12]
153,[12]
154,[12]
155,[12]
156,[25]
157,[25]
158,[29]
159,[29]
160,[26]
161,[17]
162,[33]
163,[13]
164,[13]
165,[13]
166,[13]
167,[13]
168,[21]
169,[23]
170,[24]
171,[15]
172,[25]
173,[20]
174,[20]
175,[21]
176,[31]
177,[26]
178,[35]
179,[10]
180,[22]
181,[8]
182,[13]
183,[13]
184,[13]
185,[13]
186,[13]
187,[13]
188,[15]
189,[15]
190,[15]
191,[27]
192,[27]
193,[27]
194,[27]
195,[27]
196,[27]
197,[27]
198,[11]
199,[11]
200,[11]
201,[11]
202,[19]
203,[19]
204,[19]
205,[19]
206,[19]
207,[19]
208,[19]
209,[19]
210,[19]
211,[19]
212,[19]
213,[21]
214,[21]
215,[29]
216,[29]
217,[28]
218,[28]
