user_id,item_id,score
150,652,0
273,366,1
695,403,1
106,643,0
742,531,0
181,188,0
758,241,1
278,37,1
59,258,1
846,407,0
558,18,0
761,267,0
986,472,1
110,262,1
373,635,0
685,549,1
32,289,0
895,438,1
974,321,1
307,682,0
17,390,1
826,142,0
101,701,1
442,82,1
537,391,0
627,548,1
599,20,1
338,537,1
811,48,1
786,675,1
99,452,0
85,584,1
177,675,0
76,111,0
768,478,0
354,165,1
49,365,1
857,15,1
154,328,1
667,207,1
637,609,1
166,454,1
814,122,1
493,310,1
26,14,1
140,484,0
502,466,1
31,613,1
327,645,0
368,553,1
9,368,1
849,204,1
991,586,1
710,16,1
982,634,1
261,226,1
201,456,1
705,232,0
364,66,1
971,453,1
310,444,1
243,202,1
177,700,1
393,34,1
337,113,1
753,435,0
278,49,1
635,458,1
869,1,1
92,198,1
882,369,0
382,122,0
580,309,1
711,323,0
204,179,1
226,654,0
750,245,0
313,454,1
582,439,0
534,24,1
105,635,1
344,182,1
166,78,1
338,434,0
902,292,0
689,603,0
239,445,1
393,20,1
394,524,0
253,6,0
302,528,1
975,549,1
512,398,1
753,143,0
12,620,0
570,642,1
618,610,1
510,616,1
32,185,0
929,456,0
162,166,1
858,178,1
56,204,1
190,402,1
695,609,1
475,680,1
215,613,1
294,568,0
73,454,1
301,638,0
241,528,1
96,654,1
628,551,1
701,271,0
385,69,1
81,206,1
682,327,0
698,615,1
958,672,1
426,109,1
41,367,1
801,387,1
616,567,1
847,527,0
889,131,0
733,498,0
891,501,1
47,64,0
719,538,1
820,423,1
193,28,1
667,1,1
276,208,1
714,528,1
636,707,0
179,478,1
260,132,1
751,385,1
909,550,1
393,151,1
312,525,1
879,387,1
779,66,1
708,18,1
992,416,1
720,162,1
640,134,1
29,505,1
6,609,1
600,551,0
176,297,1
425,161,1
1,109,1
129,71,1
498,264,1
885,383,1
773,551,1
639,372,0
683,211,1
557,424,0
845,708,1
916,207,1
873,606,1
825,501,1
978,613,1
401,371,1
435,28,1
464,252,1
508,560,0
577,649,0
923,387,1
109,319,1
811,137,0
244,82,1
720,415,1
764,654,1
223,557,1
807,647,0
722,434,1
326,435,0
865,144,1
539,409,1
506,410,0
269,157,0
801,18,1
91,318,1
987,606,0
743,675,0
809,646,0
599,262,1
631,520,1
832,296,0
580,3,1
481,340,0
870,549,1
493,242,0
69,54,1
126,66,1
339,33,0
385,366,0
366,74,1
297,495,1
445,158,0
278,370,1
389,505,0
498,136,1
764,635,1
836,709,1
329,549,0
399,64,1
900,381,0
296,501,1
552,283,0
985,606,0
80,200,1
155,318,1
469,445,1
61,569,1
498,480,1
546,707,0
576,531,1
290,20,1
821,647,1
830,669,1
356,653,0
285,41,0
45,51,0
326,234,1
671,642,1
892,203,1
482,131,0
959,137,0
939,636,0
948,525,1
496,114,1
411,81,1
796,708,1
6,235,0
316,158,1
87,211,1
318,563,0
309,620,0
266,22,1
361,646,0
620,65,1
625,473,0
539,592,0
52,296,0
977,643,1
26,327,1
875,211,0
895,82,1
11,73,0
15,310,1
861,437,0
934,252,0
85,161,1
610,550,1
712,51,1
416,31,1
636,474,1
864,134,0
528,495,0
652,183,0
847,426,1
73,232,0
174,525,1
748,28,1
38,340,0
980,106,1
861,227,1
166,700,1
937,156,1
997,238,0
185,640,1
294,365,1
855,614,1
364,366,1
474,472,0
673,215,1
869,430,0
225,538,1
595,231,0
580,167,1
164,550,0
685,673,1
928,318,1
471,30,1
230,315,0
560,423,1
422,122,1
278,486,0
745,438,1
724,420,1
428,262,0
577,326,0
838,521,1
623,650,1
461,644,1
451,458,1
61,450,1
439,203,1
561,184,1
974,458,1
71,206,1
569,506,1
447,235,0
846,184,1
914,122,1
854,28,1
178,114,0
646,83,0
700,638,0
460,194,0
668,200,0
105,614,1
508,620,1
627,122,1
361,439,0
829,452,1
727,64,1
184,569,1
617,333,1
166,57,1
650,603,1
872,613,1
293,575,0
169,114,1
546,537,1
282,400,0
37,288,0
182,235,0
232,612,1
43,21,1
63,305,0
700,205,1
371,131,1
866,345,0
111,554,0
454,50,1
435,557,0
209,645,1
260,594,1
842,167,0
604,310,1
770,137,1
655,19,1
785,376,1
215,110,1
95,305,0
715,550,0
423,551,1
124,111,1
49,426,0
852,376,0
404,472,0
50,504,0
266,261,1
551,172,0
346,114,1
317,666,1
708,674,1
444,339,1
155,580,0
575,86,0
670,700,1
898,159,0
615,207,1
85,670,1
834,154,1
107,188,1
891,166,1
628,296,0
858,675,1
925,16,1
621,584,1
581,618,1
456,179,0
957,207,1
147,605,0
121,342,1
576,269,0
935,209,1
838,680,1
728,234,0
980,311,1
539,210,1
138,182,1
447,170,0
268,386,1
318,581,0
431,315,0
483,421,1
436,641,1
267,205,1
369,293,0
850,188,1
11,618,1
296,188,1
227,367,1
152,309,0
836,640,1
567,189,1
841,538,0
190,454,0
892,298,1
76,612,1
269,31,1
864,371,0
85,426,1
221,326,1
133,315,1
702,208,0
514,176,0
67,463,1
539,611,1
720,262,0
469,149,1
60,144,1
473,438,0
535,143,1
200,199,1
875,305,0
768,206,1
463,537,1
974,580,0
84,201,1
627,614,1
421,82,1
467,155,1
496,48,1
815,640,1
228,153,1
62,423,1
733,423,1
976,9,0
223,307,1
516,299,0
296,550,1
445,596,0
359,453,1
91,52,0
450,562,1
59,239,1
234,499,1
263,199,1
103,122,1
866,184,1
924,53,0
93,431,0
707,700,1
731,521,0
279,377,1
389,367,1
79,611,1
246,638,1
891,638,1
518,667,0
635,21,1
192,137,1
132,366,1
122,114,0
224,558,1
844,434,1
621,411,1
742,335,1
209,678,1
480,205,1
827,41,1
91,521,0
92,25,0
279,413,1
590,553,1
531,232,0
398,415,1
182,151,1
435,712,0
930,568,0
485,509,1
779,686,1
259,182,1
200,635,1
883,549,1
161,538,0
443,709,1
160,603,0
444,641,1
232,696,1
350,405,1
964,501,1
285,538,1
834,521,1
49,579,0
265,559,0
460,16,1
994,649,1
802,534,1
596,51,1
17,376,0
911,646,1
187,210,1
77,448,1
946,675,0
69,645,1
976,30,1
576,517,0
475,610,0
754,450,0
33,198,1
463,222,1
599,25,1
531,198,1
114,110,1
218,609,1
689,504,1
854,569,1
261,122,1
707,503,1
594,39,1
863,426,1
705,4,1
275,205,1
273,49,0
603,384,1
523,293,1
552,563,1
38,260,0
93,70,0
811,526,1
408,386,1
381,18,1
544,156,0
444,593,0
252,437,1
277,420,1
738,64,1
193,505,1
211,486,0
295,228,0
742,708,1
638,158,1
147,330,0
873,162,1
456,45,0
549,525,0
339,528,1
582,252,0
7,280,0
508,232,0
587,483,1
854,202,1
934,652,0
736,557,0
760,611,1
648,2,1
151,428,1
425,439,0
69,450,0
384,204,1
244,553,1
542,450,0
169,647,1
862,370,1
500,21,1
745,557,1
785,521,1
294,569,0
825,504,0
161,154,1
2,548,1
85,156,1
660,327,0
386,118,0
954,173,0
46,466,1
538,369,1
988,503,1
872,444,0
418,452,1
710,551,1
373,83,1
604,635,0
587,692,1
129,469,1
530,525,1
265,633,0
94,57,1
508,618,1
637,385,1
590,262,1
859,704,1
797,200,1
436,33,1
392,212,0
246,375,1
735,226,1
790,223,0
187,463,1
961,174,0
160,51,1
